u,v,alpha,beta,weight,max_budget
0,1,1.1821788571642615,0.578253296142186,1.7604321533064475,17
0,2,2.598664727509168,1.6991178938147855,4.297782621323954,12
0,3,2.363547456343468,1.2744297835892027,3.6379772399326704,12
0,4,2.0551513405109807,1.0370512776157343,3.092202618126715,18
0,5,2.4987718658280746,1.619794011346978,4.118565877175053,10
0,6,2.352627080034548,1.9843556100968542,4.336982690131402,10
0,7,2.8641687590862492,1.1455451864384933,4.009713945524743,18
0,8,2.041826958730291,1.9832637701385762,4.025090728868867,18
0,9,1.4842647553736472,0.9461006232246654,2.430365378598313,8
0,10,1.9477501435419309,1.7204805511031247,3.6682306946450556,14
3,703,1.5679615315549134,1.8508222967946377,3.418783828349551,14
3,826,1.520128114016488,1.1222886554342821,2.64241676945077,24
3,1097,1.5377451232606398,1.5607708756892062,3.0985159989498463,27
3,1287,1.5426319345975232,1.485628723867666,3.0282606584651894,13
3,1591,2.7134070476065557,1.3281073366289033,4.041514384235459,7
3,1895,1.4534895610833056,1.3620654899246596,2.815555051007965,17
3,1896,2.7465252135628972,1.3872663773692906,4.133791590932188,5
3,1897,2.417332775946163,0.7763708465753241,3.193703622521487,13
3,1898,2.842193131235698,1.0339430947438228,3.8761362259795207,16
3,1899,2.508505740214745,0.6646033511147672,3.173109091329512,5
4,144,1.3029315669072754,0.8294359415054825,2.132367508412758,20
4,258,1.7614370471935494,1.1520203622333847,2.9134574094269343,27
4,491,2.773631694558431,1.8654823139681918,4.639114008526623,13
4,1021,2.0211809539289227,1.2251726826398126,3.2463536365687355,25
4,1418,1.401283895869685,1.3350032857631926,2.7362871816328775,15
4,1669,2.198173569067156,0.9735278986057514,3.1717014676729076,13
4,1900,1.7737721031912295,0.8668773942866528,2.6406494974778822,15
4,1901,2.287133035974407,1.899745097085131,4.186878133059538,13
4,1902,2.3658282342367682,0.9031148045855167,3.268943038822285,29
4,1903,2.612579438404759,0.6069211741147291,3.219500612519488,11
5,121,2.011853525757144,1.732477707935865,3.744331233693009,21
5,127,2.7936103941602326,1.8719000680917215,4.665510462251954,18
5,128,2.8679684632572613,0.948747447965756,3.8167159112230173,14
5,179,1.1397953596822477,1.547739032257659,2.6875343919399066,20
5,247,2.044289638930577,1.0585407348101301,3.102830373740707,28
5,249,2.588323037271384,1.712710777982362,4.301033815253746,7
5,264,2.522372462695148,0.7041229365857817,3.2264953992809295,19
5,353,2.231634484713137,1.7140531092508717,3.9456875939640086,28
5,424,1.5948816443611311,1.4457893097133114,3.0406709540744425,9
5,426,2.1012955945858813,1.794486150648663,3.8957817452345442,23
7,145,2.927470801417032,0.5079308477388009,3.435401649155833,29
7,176,2.608591672604965,1.4126681700860018,4.0212598426909665,25
7,177,2.7667976776380145,0.7587749828904098,3.5255726605284243,21
7,353,2.0507903743036238,1.8208779688419952,3.871668343145619,29
7,753,2.185957804350677,1.9444464855878745,4.130404289938552,10
7,754,2.6179442307421725,1.0296098004086165,3.647554031150789,25
7,762,2.8470826726268648,1.4722303603629299,4.319313032989795,18
7,2064,1.4706270624857232,1.69464757140961,3.1652746338953333,16
7,3002,1.656929482855671,0.5416433893353596,2.198572872191031,22
8,520,1.4508057432358508,1.9229695536492037,3.3737752968850545,19
8,665,1.0283680196591691,1.9091874152924349,2.937555434951604,13
8,852,1.8936238204547655,1.9436979730567967,3.8373217935115624,6
8,1394,1.4408533483011805,0.742280680741743,2.1831340290429235,6
8,1786,2.791576013880105,0.8774416990127505,3.6690177128928556,16
8,1842,2.1669420909143,0.8672712651737968,3.0342133560880966,11
8,1904,2.193685601060116,0.8871126473808669,3.0807982484409826,12
8,1905,1.0365092215529617,0.6540958083130053,1.690605029865967,19
8,1906,1.8987696670678345,1.3051972717976652,3.2039669388654994,15
8,1907,1.4204729149413495,0.5076265660394372,1.9280994809807868,8
9,124,1.156191070531673,1.2818580619983848,2.4380491325300575,7
9,147,2.4425505483289776,0.8033965493491431,3.245947097678121,6
9,177,2.1731206594872603,1.6883103159391455,3.861430975426406,13
9,246,2.394434576410028,1.2351824270973324,3.6296170035073603,16
9,247,2.6251091625005953,1.081373052101562,3.7064822146021577,25
9,248,1.3242987695910753,1.3300369798978087,2.654335749488884,16
9,249,2.1465726741266495,1.9861975306871118,4.132770204813761,19
9,250,1.4010215965343886,1.171812589668812,2.5728341862032007,27
